Code,Lat,Lon
Ale,40.84,25.87
Ber,60.65,4.77
Brd,54.08,-0.17
Cor,51.84,-8.26
Cro,52.94,1.31
Eye,55.88,-2.07
Flo,58.42,8.76
Gul,58.25,11.33
Heb,57.79,-7.25
Hel,54.18,7.9
Hoo,52.12,-6.92
Idr16,46.13,-1.250001
Idr17,46.13,-1.250001
Iom,54.12,-4.5
Ios,49.92,-6.33
Jer,49.16,-2.12
Kav,58.33,11.37
Kil,53.28,-9.77
Laz,41.44,12.62
Loo,50.35,-4.44
Lyn,52.93,-4.62
Lys,58.26,11.37
Mul,54.19,-10.15
Oos,51.61,3.7
Ork,59,-2.83
Pad,50.56,-4.98
Pem,51.81,-5.29
Sar13,41.26,9.2
Sar17,41.26,9.2
Sbs,50.82,-0.26
She,60.17,-1.4
Sin,59.08,11.12
Sky,38.82,24.53
Sul,59.09,-6.16
Tar,42.23,11.68
The,40.36,22.88
Tor,40.17,23.54
Tro,63.76,9.15
Ven,52.12,-10.35
Vig,42.49,-8.99
